Customer Number,Lens Type,
149877,monofocal lenses,
37385,extended wear contact lenses,
345677,bifocal contact lenses,
931090,progressive lenses,
625206,daily wear contact lenses,
499608,daily wear contact lenses,
749837,disposable contact lenses,
509930,monofocal lenses,
342803,bifocal contact lenses,
726081,bifocal contact lenses,
569556,monofocal lenses,
622112,bifocal contact lenses,
156598,bifocal contact lenses,
560929,extended wear contact lenses,
236544,bifocal lenses,
228186,progressive lenses,
267665,monofocal lenses,
261084,trifocal lenses,
430343,disposable contact lenses,
136412,progressive lenses,
335537,extended wear contact lenses,
758651,progressive lenses,
374259,extended wear contact lenses,
4165,progressive lenses,
966367,trifocal lenses,
742504,bifocal contact lenses,
651040,trifocal lenses,
942197,extended wear contact lenses,
131870,monofocal lenses,
166458,progressive lenses,
814081,bifocal lenses,
115318,monofocal lenses,
416103,monofocal lenses,
207128,extended wear contact lenses,
209568,progressive lenses,
572523,trifocal lenses,
627229,daily wear contact lenses,
672947,daily wear contact lenses,
480463,daily wear contact lenses,
386870,progressive lenses,
284643,extended wear contact lenses,
526820,monofocal lenses,
290822,bifocal lenses,
374499,bifocal lenses,
428923,bifocal lenses,
336782,bifocal contact lenses,
94976,trifocal lenses,
30281,monofocal lenses,
911586,rigid gas permeable contact lenses,
732553,bifocal contact lenses,
941789,disposable contact lenses,
964339,trifocal lenses,
666828,monofocal lenses,
799839,bifocal lenses,
204168,progressive lenses,
763242,bifocal contact lenses,
425698,monofocal lenses,
668525,monofocal lenses,
97567,disposable contact lenses,
195568,monofocal lenses,
130206,progressive lenses,
80344,progressive lenses,
524217,extended wear contact lenses,
937499,rigid gas permeable contact lenses,
473097,disposable contact lenses,
989605,monofocal lenses,
567294,progressive lenses,
362395,daily wear contact lenses,
218506,daily wear contact lenses,
400561,progressive lenses,
777339,monofocal lenses,
333488,progressive lenses,
502105,bifocal lenses,
796261,trifocal lenses,
684635,monofocal lenses,
394925,toric contact lenses,
609150,bifocal lenses,
802454,progressive lenses,
830473,disposable contact lenses,
913140,disposable contact lenses,
401520,extended wear contact lenses,
302597,monofocal lenses,
858673,bifocal lenses,
837065,progressive lenses,
790309,bifocal lenses,
881392,extended wear contact lenses,
569059,bifocal contact lenses,
668982,bifocal lenses,
624936,trifocal lenses,
104684,monofocal lenses,
303142,monofocal lenses,
646354,extended wear contact lenses,
530291,progressive lenses,
941334,bifocal contact lenses,
188919,monofocal lenses,
444619,progressive lenses,
75968,monofocal lenses,
505522,progressive lenses,
878285,progressive lenses,
354485,disposable contact lenses,
832945,daily wear contact lenses,
192965,monofocal lenses,
318573,disposable contact lenses,
766555,progressive lenses,
22370,bifocal lenses,
517909,progressive lenses,
641556,disposable contact lenses,
657038,bifocal lenses,
881614,trifocal lenses,
245881,progressive lenses,
105636,progressive lenses,
782337,progressive lenses,
957885,bifocal lenses,
442422,bifocal lenses,
280997,bifocal contact lenses,
193732,progressive lenses,
784115,progressive lenses,
701257,rigid gas permeable contact lenses,
246075,toric contact lenses,
97505,trifocal lenses,
22521,progressive lenses,
35339,disposable contact lenses,
206732,rigid gas permeable contact lenses,
150752,trifocal lenses,
217816,progressive lenses,
185942,progressive lenses,
578767,progressive lenses,
853303,disposable contact lenses,
520526,rigid gas permeable contact lenses,
210558,bifocal lenses,
786853,trifocal lenses,
944827,monofocal lenses,
487649,monofocal lenses,
11792,bifocal lenses,
728686,monofocal lenses,
4157,bifocal lenses,
957473,progressive lenses,
769508,extended wear contact lenses,
415170,progressive lenses,
6547,rigid gas permeable contact lenses,
866189,toric contact lenses,
371790,trifocal lenses,
766437,rigid gas permeable contact lenses,
612337,monofocal lenses,
332575,monofocal lenses,
124887,progressive lenses,
649917,progressive lenses,
599381,bifocal lenses,
173210,disposable contact lenses,
603565,monofocal lenses,
67306,extended wear contact lenses,
176928,extended wear contact lenses,
565581,extended wear contact lenses,
533951,monofocal lenses,
529692,disposable contact lenses,
323920,bifocal lenses,
49461,bifocal contact lenses,
402294,bifocal contact lenses,
939152,trifocal lenses,
765347,bifocal contact lenses,
819293,toric contact lenses,
27294,monofocal lenses,
606471,bifocal contact lenses,
983979,extended wear contact lenses,
320818,disposable contact lenses,
982603,monofocal lenses,
101518,progressive lenses,
966708,bifocal contact lenses,
768031,rigid gas permeable contact lenses,
212162,disposable contact lenses,
917205,progressive lenses,
531687,progressive lenses,
197714,rigid gas permeable contact lenses,
719726,rigid gas permeable contact lenses,
979292,progressive lenses,
438075,bifocal contact lenses,
252457,progressive lenses,
409831,disposable contact lenses,
222103,monofocal lenses,
123147,bifocal contact lenses,
907107,rigid gas permeable contact lenses,
686413,disposable contact lenses,
532026,disposable contact lenses,
965654,bifocal contact lenses,
938081,monofocal lenses,
123457,trifocal lenses,
682936,bifocal contact lenses,
28059,progressive lenses,
944427,monofocal lenses,
841930,extended wear contact lenses,
422285,extended wear contact lenses,
319589,disposable contact lenses,
969312,extended wear contact lenses,
117758,rigid gas permeable contact lenses,
67361,monofocal lenses,
835013,monofocal lenses,
274387,monofocal lenses,
200089,extended wear contact lenses,
137831,monofocal lenses,
246057,disposable contact lenses,
269294,bifocal lenses,
422596,disposable contact lenses,
229592,progressive lenses,
299199,trifocal lenses,
253719,progressive lenses,
137359,toric contact lenses,
332638,monofocal lenses,
579882,toric contact lenses,
172226,bifocal lenses,
560606,trifocal lenses,
646484,bifocal contact lenses,
912044,monofocal lenses,
114168,monofocal lenses,
574087,daily wear contact lenses,
989018,bifocal contact lenses,
500763,bifocal lenses,
904151,monofocal lenses,
155317,extended wear contact lenses,
592829,disposable contact lenses,
560209,progressive lenses,
869006,monofocal lenses,
751342,bifocal lenses,
323535,trifocal lenses,
44624,progressive lenses,
812600,monofocal lenses,
657574,monofocal lenses,
16641,extended wear contact lenses,
40201,monofocal lenses,
975939,monofocal lenses,
377191,monofocal lenses,
519753,bifocal lenses,
353945,bifocal lenses,
48818,extended wear contact lenses,
606307,disposable contact lenses,
239707,daily wear contact lenses,
114141,bifocal contact lenses,
65845,extended wear contact lenses,
890352,monofocal lenses,
369831,extended wear contact lenses,
163119,trifocal lenses,
725001,monofocal lenses,
153193,rigid gas permeable contact lenses,
504956,progressive lenses,
348814,progressive lenses,
707306,disposable contact lenses,
315691,bifocal lenses,
411182,rigid gas permeable contact lenses,
291390,extended wear contact lenses,
32392,progressive lenses,
172966,toric contact lenses,
321755,trifocal lenses,
757989,progressive lenses,
758942,trifocal lenses,
783274,progressive lenses,
424747,extended wear contact lenses,
105677,extended wear contact lenses,
980747,trifocal lenses,
840241,monofocal lenses,
474177,progressive lenses,
936460,disposable contact lenses,
528906,progressive lenses,
946856,rigid gas permeable contact lenses,
790291,daily wear contact lenses,
238057,progressive lenses,
820220,extended wear contact lenses,
67632,monofocal lenses,
272161,extended wear contact lenses,
995355,disposable contact lenses,
113775,progressive lenses,
50270,monofocal lenses,
137549,progressive lenses,
592862,progressive lenses,
586699,progressive lenses,
993451,disposable contact lenses,
142510,progressive lenses,
706387,progressive lenses,
274249,monofocal lenses,
692316,progressive lenses,
684768,progressive lenses,
258390,disposable contact lenses,
933761,monofocal lenses,
720092,monofocal lenses,
724852,progressive lenses,
442430,disposable contact lenses,
516486,progressive lenses,
514208,bifocal contact lenses,
832267,bifocal contact lenses,
948520,extended wear contact lenses,
286842,progressive lenses,
695435,monofocal lenses,
557532,disposable contact lenses,
832992,bifocal lenses,
909046,progressive lenses,
387559,monofocal lenses,
700805,bifocal contact lenses,
773813,progressive lenses,
643143,daily wear contact lenses,
854198,extended wear contact lenses,
724742,disposable contact lenses,
585493,extended wear contact lenses,
653069,monofocal lenses,
428764,bifocal lenses,
889524,extended wear contact lenses,
663256,bifocal lenses,
999948,extended wear contact lenses,
446696,bifocal contact lenses,
733384,toric contact lenses,
406039,extended wear contact lenses,
896246,progressive lenses,
389439,bifocal lenses,
994852,monofocal lenses,
874237,monofocal lenses,
141731,monofocal lenses,
137685,daily wear contact lenses,
705212,monofocal lenses,
324835,trifocal lenses,
591968,progressive lenses,
21089,bifocal contact lenses,
553158,bifocal lenses,
808582,monofocal lenses,
981393,progressive lenses,
63145,monofocal lenses,
934488,progressive lenses,
514055,progressive lenses,
436895,monofocal lenses,
230959,monofocal lenses,
891600,bifocal lenses,
669438,progressive lenses,
223281,progressive lenses,
105771,disposable contact lenses,
550904,monofocal lenses,
647911,rigid gas permeable contact lenses,
74528,rigid gas permeable contact lenses,
819347,progressive lenses,
903052,trifocal lenses,
123179,progressive lenses,
822197,bifocal contact lenses,
380659,disposable contact lenses,
116530,monofocal lenses,
276019,monofocal lenses,
952204,bifocal lenses,
5540,monofocal lenses,
998618,rigid gas permeable contact lenses,
67978,monofocal lenses,
853328,progressive lenses,
781519,disposable contact lenses,
822567,monofocal lenses,
906337,bifocal contact lenses,
793507,toric contact lenses,
81926,monofocal lenses,
17609,bifocal lenses,
57571,disposable contact lenses,
78964,monofocal lenses,
904961,monofocal lenses,
436073,bifocal lenses,
656168,progressive lenses,
54336,monofocal lenses,
350997,disposable contact lenses,
769770,rigid gas permeable contact lenses,
803325,monofocal lenses,
538762,monofocal lenses,
685639,disposable contact lenses,
541083,bifocal lenses,
751278,bifocal lenses,
330836,toric contact lenses,
301689,progressive lenses,
756728,extended wear contact lenses,
859961,monofocal lenses,
637919,monofocal lenses,
170531,trifocal lenses,
430299,bifocal lenses,
42103,extended wear contact lenses,
32903,monofocal lenses,
815009,bifocal lenses,
372807,progressive lenses,
385555,bifocal contact lenses,
932250,monofocal lenses,
868155,bifocal contact lenses,
150075,monofocal lenses,
862828,bifocal lenses,
249863,rigid gas permeable contact lenses,
73021,bifocal lenses,
566615,monofocal lenses,
982100,disposable contact lenses,
840172,trifocal lenses,
161160,monofocal lenses,
594367,extended wear contact lenses,
335051,progressive lenses,
637086,monofocal lenses,
258790,bifocal contact lenses,
505912,extended wear contact lenses,
368499,trifocal lenses,
517348,progressive lenses,
85891,progressive lenses,
325939,daily wear contact lenses,
850924,progressive lenses,
285287,progressive lenses,
719850,toric contact lenses,
969625,extended wear contact lenses,
610803,bifocal contact lenses,
697114,daily wear contact lenses,
261252,monofocal lenses,
379289,progressive lenses,
296852,daily wear contact lenses,
995087,monofocal lenses,
118878,progressive lenses,
201948,progressive lenses,
636025,monofocal lenses,
707391,rigid gas permeable contact lenses,
131786,monofocal lenses,
966009,monofocal lenses,
226853,disposable contact lenses,
854524,monofocal lenses,
896564,extended wear contact lenses,
374291,trifocal lenses,
66917,extended wear contact lenses,
970047,monofocal lenses,
104634,monofocal lenses,
991992,monofocal lenses,
179764,disposable contact lenses,
742069,bifocal lenses,
228949,monofocal lenses,
83512,bifocal contact lenses,
341817,bifocal contact lenses,
462496,disposable contact lenses,
623442,extended wear contact lenses,
940703,progressive lenses,
989419,bifocal lenses,
614997,progressive lenses,
957958,rigid gas permeable contact lenses,
597082,monofocal lenses,
584077,monofocal lenses,
995349,extended wear contact lenses,
852194,progressive lenses,
811956,monofocal lenses,
697409,extended wear contact lenses,
312708,bifocal lenses,
853285,progressive lenses,
520046,disposable contact lenses,
341633,bifocal lenses,
375855,monofocal lenses,
337962,extended wear contact lenses,
889631,bifocal lenses,
57399,extended wear contact lenses,
572713,monofocal lenses,
441444,monofocal lenses,
624660,bifocal lenses,
849806,progressive lenses,
327363,toric contact lenses,
107254,rigid gas permeable contact lenses,
357190,progressive lenses,
129214,progressive lenses,
69731,monofocal lenses,
232665,monofocal lenses,
436167,toric contact lenses,
934684,bifocal lenses,
34520,progressive lenses,
313985,bifocal lenses,
474572,monofocal lenses,
623869,monofocal lenses,
296301,monofocal lenses,
229878,bifocal contact lenses,
552870,toric contact lenses,
251013,monofocal lenses,
908743,extended wear contact lenses,
906312,toric contact lenses,
565686,monofocal lenses,
575359,rigid gas permeable contact lenses,
648483,monofocal lenses,
57037,progressive lenses,
427606,progressive lenses,
752354,monofocal lenses,
713261,monofocal lenses,
948985,progressive lenses,
76353,bifocal contact lenses,
356311,bifocal lenses,
702733,trifocal lenses,
127851,daily wear contact lenses,
761985,monofocal lenses,
615317,monofocal lenses,
586378,bifocal lenses,
222192,progressive lenses,
356545,bifocal lenses,
48057,bifocal lenses,
648239,bifocal lenses,
494945,extended wear contact lenses,
711382,extended wear contact lenses,
324939,monofocal lenses,
729829,bifocal contact lenses,
508080,bifocal lenses,
971058,monofocal lenses,
602563,progressive lenses,
627175,progressive lenses,
79237,bifocal contact lenses,
929242,bifocal contact lenses,
956530,disposable contact lenses,
351202,disposable contact lenses,
369556,extended wear contact lenses,
501997,progressive lenses,
583558,monofocal lenses,
199870,monofocal lenses,
247633,bifocal lenses,
307219,extended wear contact lenses,
842988,rigid gas permeable contact lenses,
213903,progressive lenses,
978481,monofocal lenses,
666730,bifocal contact lenses,
678574,progressive lenses,
877695,disposable contact lenses,
615524,progressive lenses,
300270,monofocal lenses,
711660,daily wear contact lenses,
520045,toric contact lenses,
175801,monofocal lenses,
738658,toric contact lenses,
169744,daily wear contact lenses,
734740,progressive lenses,
323352,monofocal lenses,
699148,monofocal lenses,
84155,disposable contact lenses,
642541,daily wear contact lenses,
230025,bifocal lenses,
339293,disposable contact lenses,
847345,monofocal lenses,
195898,bifocal contact lenses,
925230,bifocal lenses,
76504,disposable contact lenses,
799491,rigid gas permeable contact lenses,
937579,monofocal lenses,
877116,progressive lenses,
312517,bifocal contact lenses,
469488,bifocal lenses,
192793,monofocal lenses,
315007,disposable contact lenses,
493442,monofocal lenses,
163789,monofocal lenses,
117102,progressive lenses,
953037,toric contact lenses,
194675,disposable contact lenses,
245044,progressive lenses,
452439,daily wear contact lenses,
930194,daily wear contact lenses,
573182,progressive lenses,
995210,extended wear contact lenses,
370043,bifocal contact lenses,
921625,toric contact lenses,
799212,progressive lenses,
81889,monofocal lenses,
806128,monofocal lenses,
610015,monofocal lenses,
170708,monofocal lenses,
448992,bifocal lenses,
160805,monofocal lenses,
704247,monofocal lenses,
880978,monofocal lenses,
258423,progressive lenses,
441265,monofocal lenses,
483414,disposable contact lenses,
616137,progressive lenses,
239895,bifocal lenses,
318203,toric contact lenses,
464724,rigid gas permeable contact lenses,
606905,progressive lenses,
882930,disposable contact lenses,
435811,trifocal lenses,
125181,progressive lenses,
165935,progressive lenses,
306747,rigid gas permeable contact lenses,
41730,bifocal lenses,
3127,extended wear contact lenses,
485669,monofocal lenses,
405799,bifocal contact lenses,
290218,progressive lenses,
856626,progressive lenses,
974049,trifocal lenses,
725060,extended wear contact lenses,
428648,toric contact lenses,
620559,bifocal lenses,
437026,monofocal lenses,
17079,monofocal lenses,
21148,progressive lenses,
726489,toric contact lenses,
423260,progressive lenses,
72746,monofocal lenses,
550848,toric contact lenses,
640007,bifocal contact lenses,
379887,monofocal lenses,
453258,bifocal lenses,
764465,disposable contact lenses,
94741,monofocal lenses,
991821,toric contact lenses,
956421,progressive lenses,
741744,monofocal lenses,
491492,progressive lenses,
752110,trifocal lenses,
963476,disposable contact lenses,
60629,disposable contact lenses,
957431,monofocal lenses,
93290,monofocal lenses,
90304,disposable contact lenses,
574215,monofocal lenses,
234577,progressive lenses,
534939,extended wear contact lenses,
367244,monofocal lenses,
799670,monofocal lenses,
