ID Number,Position on Automobile,Life of Tire (Months),Tread Depth,Miles
6780709,LF,20.7,9.2,17089
8776827,LR,11.6,9.8,29234
13391952,RF,58.5,2.0,3007
18307025,RF,7.1,8.9,11797
8157077,RR,9.6,9.9,21391
16985992,RF,38.8,6.1,39901
11182444,LR,32.4,6.8,61673
13610191,RR,45.2,2.9,3106
12236529,LF,28.0,7.5,52079
5545466,RF,11.4,8.6,14680
4649613,LR,28.9,6.9,3447
15699009,RF,11.2,8.4,16073
18151133,RF,36.6,5.0,45095
13610191,RF,45.2,2.5,3106
14183194,RF,15.5,7.8,22814
19491653,LF,7.4,10.2,17766
5545466,LF,11.4,8.6,14680
9936606,RF,30.2,5.8,57831
8951784,RR,53.0,3.0,49033
16692027,RR,67.0,1.6,41953
10497770,RF,36.8,6.0,71501
21558071,RR,17.1,8.5,19453
14922518,RF,39.1,0.6,12491
11795512,RR,29.4,5.0,63479
963792,RR,15.2,9.1,23066
1086127,RR,30.0,7.4,69164
10793619,LR,12.1,9.9,38651
19221055,LF,56.8,2.6,100113
7611238,LF,13.6,9.3,40681
10363825,LF,30.7,6.4,58050
3122472,RF,17.3,7.6,21073
8919904,RF,11.4,10.3,19490
3354740,LR,18.4,7.8,33071
9857863,RR,22.2,7.8,5516
12000879,LF,27.9,6.6,19324
138004,RR,20.2,8.6,36816
6684231,RF,8.8,10.0,74631
6175777,LF,6.8,8.2,14601
13926664,LF,32.0,5.2,31918
6780709,RF,20.7,9.5,17089
21514682,RF,19.0,8.5,4754
17423828,LR,30.0,6.9,69978
8047612,RR,22.1,7.5,45108
20404616,LR,12.1,8.8,24360
11216130,LR,13.4,7.9,33766
11676734,RR,10.4,9.4,19697
17423828,LF,30.0,7.4,69978
5968956,LR,10.0,9.8,8548
10396948,LF,70.1,2.3,64967
6122480,RF,3.4,9.5,7184
12252381,LF,37.4,5.2,88298
9928118,RR,9.7,10.1,3092
15699009,LF,11.2,8.1,16073
12278369,RR,6.8,9.5,2515
6064377,RR,27.0,6.8,63640
293728,RR,7.5,10.4,2921
16985992,RR,38.8,6.6,39901
17423828,RR,30.0,7.6,69978
19783122,RF,46.2,5.7,374
4649613,LF,28.9,7.1,3447
16017035,RR,16.0,8.2,19408
15870089,RR,12.7,9.1,9786
20404616,RR,12.1,8.9,24360
14120767,RF,34.0,6.6,58557
15870089,RF,12.7,8.8,9786
8157077,RF,9.6,10.2,21391
9936606,LF,30.2,6.1,57831
9307983,RR,44.2,4.7,107506
11216130,LF,13.4,7.6,33766
9857863,RF,22.2,7.8,5516
20382763,RR,16.1,9.4,17637
4244690,LF,4.5,9.8,10275
96689,LF,8.9,9.5,6266
17754053,LF,4.6,9.6,2673
23817151,RF,63.4,0.8,23266
293728,LR,7.5,10.7,2921
11182444,LF,32.4,9.0,61673
19221055,RF,56.8,2.4,100113
15568188,LR,15.7,10.4,18228
1086127,RF,30.0,7.2,69164
6186317,RF,9.1,8.2,13420
15067281,LF,18.5,7.0,16085
6186317,LR,9.1,8.1,13420
2253006,LF,27.1,7.3,54780
7505415,RR,9.8,9.5,6417
21420128,RR,39.1,6.5,20584
16289891,RR,5.4,9.8,5647
11322171,LR,13.6,9.0,26545
6186317,RR,9.1,8.1,13420
5954899,RR,3.6,11.2,3963
21514682,LF,19.0,8.2,4754
20069233,RF,44.3,3.6,21734
81518,RF,20.6,8.7,37408
2123083,LR,11.4,9.0,20957
888065,RF,15.4,8.9,24196
15699009,LR,11.2,8.3,16073
963792,LR,15.2,9.7,23066
101700,LF,21.4,8.4,29819
18705657,RR,9.7,10.3,2403
562099,LF,5.6,10.0,10766
20923007,LR,54.3,2.1,24377
852626,LR,3.1,10.1,831
9307983,LF,44.2,4.9,107506
562099,RF,5.6,9.7,10766
19783122,LF,46.2,5.5,374
3122472,LF,17.3,7.5,21073
15791632,LF,10.4,10.1,12401
6064377,RF,27.0,6.7,63640
96689,RF,8.9,9.4,6266
13313295,RF,4.9,11.2,6673
23817151,LR,63.4,0.9,23266
21420128,LF,39.1,6.2,20584
9091409,RR,1.5,10.6,2379
11980648,LR,20.1,7.2,27735
9107858,RR,18.4,7.6,170
11322171,RF,13.6,8.8,26545
11182444,RR,32.4,8.1,61673
6427907,RF,12.9,9.6,7493
16985992,LF,38.8,6.3,39901
13313295,LR,4.9,10.9,6673
6465126,LF,18.1,8.3,43857
9120653,LR,26.7,7.7,44578
7712464,RF,1.7,12.1,1593
15891808,LR,16.5,9.2,641
4252772,LF,11.3,10.4,23448
13926664,RF,32.0,5.8,31918
6175777,RR,6.8,8.2,14601
9210558,RR,32.6,7.2,15115
21514682,RR,19.0,8.2,4754
16640256,RF,51.2,3.2,92876
888065,LF,15.4,8.8,24196
21558071,RF,17.1,8.5,19453
16692027,RF,67.0,1.3,41953
18307025,LF,7.1,9.7,11797
15891808,RF,16.5,8.8,641
12278369,LR,6.8,9.4,2515
138004,LF,20.2,8.9,36816
20420707,LR,24.5,7.4,222
12000879,RR,27.9,6.0,19324
19491653,RR,7.4,10.2,17766
16640256,RR,51.2,2.9,92876
19778015,LF,7.3,10.8,2002
6122480,LF,3.4,9.4,7184
20382763,LF,16.1,9.3,17637
19221055,LR,56.8,2.5,100113
11322171,LF,13.6,8.4,26545
4649613,RF,28.9,7.3,3447
18705657,LF,9.7,10.4,2403
6465126,RF,18.1,8.3,43857
7611238,LR,13.6,9.5,40681
11182444,RF,32.4,9.1,61673
15067281,RR,18.5,7.0,16085
4252772,RR,11.3,10.1,23448
13249532,LR,7.3,10.3,8655
3574425,LF,73.3,0.2,57513
21679618,RR,17.2,7.8,39084
16289891,LF,5.4,9.7,5647
14120767,LF,34.0,6.3,58557
9210558,LF,32.6,7.8,15115
12972918,LF,4.0,8.8,2018
11216130,RR,13.4,7.9,33766
10793619,LF,12.1,9.9,38651
13391952,LF,58.5,2.2,3007
17221778,RR,18.3,8.7,18981
17123317,LR,29.7,5.8,24282
14183194,LR,15.5,7.2,22814
9928118,LR,9.7,9.5,3092
21558071,LR,17.1,8.7,19453
3574425,LR,73.3,0.2,57513
9091409,LF,1.5,10.1,2379
11795512,RF,29.4,5.0,63479
6780709,LR,20.7,9.1,17089
2253006,RR,27.1,7.2,54780
7712464,LR,1.7,12.0,1593
6064377,LR,27.0,6.9,63640
6064377,LF,27.0,7.0,63640
13610191,LR,45.2,2.6,3106
4252772,LR,11.3,9.9,23448
5968956,LF,10.0,9.3,8548
17221778,RF,18.3,9.2,18981
13926664,LR,32.0,5.7,31918
12252381,LR,37.4,5.4,88298
1383523,LR,24.4,7.3,5943
5968956,RF,10.0,8.3,8548
16017035,LF,16.0,8.3,19408
19778015,RF,7.3,10.9,2002
13249532,RF,7.3,10.6,8655
8698313,RR,61.1,1.8,26190
5545466,LR,11.4,8.9,14680
23817151,LF,63.4,0.7,23266
963792,RF,15.2,9.9,23066
13249532,RR,7.3,11.1,8655
15067281,LR,18.5,6.5,16085
13114730,RF,2.7,10.4,3377
10363825,LR,30.7,6.3,58050
15891808,RR,16.5,9.2,641
20923007,RF,54.3,2.2,24377
16985992,LR,38.8,6.3,39901
14183194,LF,15.5,7.5,22814
18414342,RF,15.0,9.4,13709
9120653,RF,26.7,7.4,44578
8698313,LR,61.1,1.5,26190
888065,LR,15.4,9.3,24196
15067281,RF,18.5,5.9,16085
20069233,RR,44.3,3.5,21734
21420128,RF,39.1,6.2,20584
17221778,LR,18.3,9.7,18981
9857863,LF,22.2,7.8,5516
2123083,LF,11.4,9.0,20957
9936606,LR,30.2,6.4,57831
6780709,RR,20.7,9.5,17089
