Tract,Longitude,Latitude,HousingMedianAge,TotalRooms,TotalBedrooms,Population,Households,MedianIncome,MedianHouseValue
75,-122.27,37.81,52,210,56,183,56,1.1667,112.5
76,-122.28,37.81,52,340,97,200,87,1.5208,112.5
77,-122.28,37.81,52,386,164,346,155,0.8075,137.5
78,-122.28,37.81,35,948,184,467,169,1.8088,118.8
79,-122.28,37.81,52,773,143,377,115,2.4083,98.2
80,-122.27,37.81,40,880,451,582,380,0.977,118.8
81,-122.27,37.81,10,875,348,546,330,0.76,162.5
82,-122.27,37.8,10,105,42,125,39,0.9722,137.5
83,-122.27,37.8,16,994,392,800,362,2.0938,162.5
84,-122.27,37.79,27,1055,347,718,302,2.6354,187.5
85,-122.27,37.8,39,1715,623,1327,467,1.8477,179.2
86,-122.26,37.8,36,5329,2477,3469,2323,2.0096,130
87,-122.26,37.82,31,4596,1331,2048,1180,2.8345,183.8
88,-122.26,37.81,29,335,107,202,91,2.0062,125
89,-122.26,37.82,22,3682,1270,2024,1250,1.2185,170
90,-122.26,37.82,37,3633,1085,1838,980,2.6104,193.1
91,-122.25,37.81,29,4656,1414,2304,1250,2.4912,257.8
92,-122.25,37.81,28,5806,1603,2563,1497,3.2177,273.4
93,-122.25,37.81,39,854,242,389,228,3.125,237.5
94,-122.25,37.81,52,2155,701,895,613,2.5795,350
95,-122.26,37.81,34,5871,1914,2689,1789,2.8406,335.7
96,-122.24,37.81,52,2026,482,709,456,3.2727,268.5
97,-122.25,37.81,52,1758,460,686,422,3.1691,259.4
98,-122.24,37.82,52,3481,751,1444,718,3.9,275.7
99,-122.25,37.82,28,3337,855,1520,802,3.9063,225
100,-122.25,37.82,52,1424,289,550,253,5.0917,262.5
101,-122.25,37.82,32,3809,1098,1806,1022,2.6429,218.5
102,-122.25,37.83,52,2376,559,939,519,3.1484,224.1
103,-122.25,37.83,35,1613,428,675,422,3.4722,243.1
104,-122.25,37.83,28,5022,1750,2558,1661,2.4234,218.5
105,-122.25,37.83,52,4190,1105,1786,1037,3.0897,234.1
106,-122.23,37.84,50,2515,399,970,373,5.8596,327.6
107,-122.24,37.83,41,2576,406,794,376,5.956,366.1
108,-122.24,37.85,37,334,54,98,47,4.9643,335
109,-122.23,37.85,52,2800,411,1061,403,6.3434,373.6
110,-122.24,37.84,52,3529,574,1177,555,5.1773,389.5
111,-122.22,37.85,28,5287,1048,2031,956,5.457,337.3
112,-122.21,37.84,44,3424,597,1358,597,6.0194,292.3
113,-122.21,37.83,40,4991,674,1616,654,7.5544,411.5
114,-122.2,37.84,30,2211,346,844,343,6.0666,311.5
115,-122.19,37.84,18,1617,210,533,194,11.6017,392.6
116,-122.2,37.84,35,2865,460,1072,443,7.4882,319.3
117,-122.21,37.83,34,5065,788,1627,766,6.8976,333.3
118,-122.2,37.83,26,1589,223,542,211,8.401,351.2
119,-122.19,37.83,29,1791,271,661,269,6.8538,368.9
120,-122.19,37.82,32,1835,264,635,263,8.317,365.9
121,-122.2,37.82,37,1229,181,420,176,7.0175,366.7
122,-122.2,37.82,39,3770,534,1265,500,6.3302,362.8
123,-122.2,37.81,45,2964,436,1067,426,6.7851,323.5
124,-122.21,37.8,50,2833,605,1260,552,2.8929,216.7
125,-122.21,37.8,38,2254,535,951,487,3.0812,233.1
126,-122.22,37.81,52,1971,335,765,308,6.5217,273.7
127,-122.22,37.8,52,2183,465,1129,460,3.2632,227.7
128,-122.22,37.8,52,2286,464,1073,441,3.0298,199.6
129,-122.22,37.8,52,2721,541,1185,515,4.5428,239.8
130,-122.22,37.81,52,2944,536,1034,521,5.3509,302.1
131,-122.23,37.8,52,2033,486,787,459,3.1603,269.5
132,-122.23,37.81,52,1433,229,612,213,4.7708,314.7
133,-122.22,37.81,52,2927,402,1021,380,8.1564,390.1
134,-122.23,37.81,52,2315,292,861,258,8.8793,410.3
135,-122.23,37.81,52,2814,365,878,352,7.508,348.7
136,-122.24,37.81,52,2093,550,918,483,2.7477,243.8
137,-122.25,37.8,52,2087,510,1197,488,3.0149,218.4
138,-122.25,37.81,46,3232,835,1373,747,3.225,218.8
139,-122.25,37.8,42,4120,1065,1715,1015,2.9345,225
140,-122.25,37.8,43,2364,792,1359,722,2.1429,250
141,-122.25,37.8,41,1471,469,1062,413,1.6121,171.4
142,-122.25,37.8,29,2468,864,1335,773,1.3929,193.8
143,-122.24,37.79,27,1632,492,1171,429,2.3173,125
144,-122.25,37.79,45,1786,526,1475,460,1.7772,97.5
145,-122.25,37.79,52,1339,391,1086,363,2.181,138.8
146,-122.25,37.8,36,1678,606,1645,543,2.2303,116.7
147,-122.25,37.8,43,2344,647,1710,644,1.6504,151.8
148,-122.24,37.8,52,996,228,731,228,2.2697,127
149,-122.24,37.8,52,1591,373,1118,347,2.1563,128.6
150,-122.24,37.8,52,1586,398,1006,335,2.1348,140.6
151,-122.24,37.8,47,2046,588,1213,554,2.6292,182.7
152,-122.23,37.8,52,1192,289,772,257,2.3833,146.9
153,-122.24,37.8,52,1803,420,1321,401,2.957,122.8
154,-122.24,37.8,49,2838,749,1487,677,2.5238,169.3
155,-122.23,37.8,51,1590,414,949,392,1.9028,127.9
156,-122.23,37.8,50,1746,480,1149,415,2.25,123.5
157,-122.23,37.8,52,1252,299,844,280,2.3929,111.9
158,-122.23,37.79,43,5963,1344,4367,1231,2.1917,112.8
159,-122.23,37.79,30,999,264,1011,263,1.8854,137.5
160,-122.24,37.79,39,1469,431,1464,389,2.1638,105.5
161,-122.24,37.79,47,1372,395,1237,303,2.125,95.5
162,-122.24,37.79,52,674,180,647,168,3.375,116.1
163,-122.24,37.79,43,1626,376,1284,357,2.2542,112.2
164,-122.25,37.79,39,461,129,381,123,1.6,112.5
165,-122.25,37.79,52,902,237,846,227,3.625,125
166,-122.26,37.8,20,2373,779,1659,676,1.6929,115
167,-122.22,37.77,52,1137,301,866,259,2.59,96.4
168,-122.23,37.77,52,769,206,612,183,2.57,72
169,-122.23,37.78,52,472,146,415,126,2.6429,71.3
170,-122.23,37.78,52,862,215,994,213,3.0257,80.8
171,-122.22,37.78,50,1920,530,1525,477,1.4886,128.8
172,-122.23,37.78,43,1420,472,1506,438,1.9338,112.5
173,-122.23,37.78,52,986,258,1008,255,1.4844,119.4
174,-122.23,37.78,44,2340,825,2813,751,1.6009,118.1
175,-122.23,37.79,48,1696,396,1481,343,2.0375,122.5
176,-122.22,37.79,37,2343,574,1608,523,2.1494,132.5
177,-122.23,37.79,30,610,145,425,140,1.6198,122.7
178,-122.23,37.79,40,930,199,564,184,1.3281,113.3
179,-122.22,37.79,44,1487,314,961,272,3.5156,109.5
180,-122.22,37.79,52,3424,690,2273,685,3.9048,164.7
181,-122.22,37.79,46,2366,575,1647,527,2.6042,124.7
182,-122.22,37.79,49,1826,450,1201,424,2.5,136.7
183,-122.22,37.79,38,3049,711,2167,659,2.7969,141.7
184,-122.2,37.79,29,1640,376,939,340,2.8321,150
185,-122.21,37.79,47,1543,307,859,292,2.9583,138.8
186,-122.21,37.79,34,2364,557,1517,516,2.8365,139.2
187,-122.21,37.79,35,1745,409,1143,386,2.875,143.8
188,-122.21,37.8,39,2003,500,1109,464,3.0682,156.5
189,-122.21,37.8,39,2018,447,1221,446,3.0757,151
190,-122.2,37.8,43,3045,499,1115,455,4.9559,273
191,-122.2,37.8,52,1547,293,706,268,4.7721,217.1
192,-122.21,37.8,52,3519,711,1883,706,3.4861,187.1
193,-122.2,37.8,41,2070,354,804,340,5.1184,239.6
194,-122.21,37.8,48,1321,263,506,252,4.0977,229.7
195,-122.19,37.8,48,1694,259,610,238,4.744,257.3
196,-122.19,37.8,46,1938,341,768,332,4.2727,246.9
197,-122.19,37.79,50,968,195,462,184,2.9844,179.9
198,-122.2,37.79,40,1060,256,667,235,4.1739,169.6
199,-122.2,37.8,46,2041,405,1059,399,3.8487,203.3
200,-122.19,37.79,28,3144,761,1737,669,2.9297,140.5
201,-122.2,37.79,35,1802,459,1009,390,2.3036,126
202,-122.21,37.79,45,2115,533,1530,474,2.4167,139.4
203,-122.2,37.79,45,2021,528,1410,480,2.7788,115.4
204,-122.21,37.78,52,1477,300,1065,269,1.8472,137
205,-122.22,37.78,44,2968,710,2269,610,2.3906,111.7
206,-122.21,37.78,43,1702,460,1227,407,1.7188,126.8
207,-122.21,37.78,47,881,248,753,241,2.625,111.3
208,-122.22,37.78,50,1776,473,1807,440,1.7276,102.3
209,-122.22,37.78,44,1678,514,1700,495,2.0801,131.9
210,-122.22,37.78,51,1637,463,1543,393,2.489,119.1
211,-122.21,37.76,52,1420,314,1085,300,1.7546,80.6
212,-122.21,37.77,52,591,173,353,137,4.0904,80.6
213,-122.21,37.77,52,745,153,473,149,2.6765,88.8
214,-122.2,37.77,49,2272,498,1621,483,2.4338,102.4
215,-122.21,37.77,46,1234,375,1183,354,2.3309,98.7
216,-122.21,37.77,43,1017,328,836,277,2.2604,100
217,-122.2,37.77,39,2689,597,1888,537,2.2562,94.8
218,-122.2,37.77,41,1547,415,1024,341,2.0562,102
219,-122.2,37.78,52,2300,443,1225,423,3.5398,158.4
220,-122.2,37.78,39,1752,399,1071,376,3.1167,121.6
221,-122.2,37.78,50,1867,403,1128,378,2.5401,129.1
222,-122.2,37.77,43,2430,502,1537,484,2.898,121.4
223,-122.21,37.78,44,1729,414,1240,393,2.3125,102.8
224,-122.19,37.78,52,1026,180,469,168,2.875,160
225,-122.19,37.77,52,2170,428,1086,425,3.3715,143.9
226,-122.19,37.77,52,2329,445,1144,417,3.5114,151.2
227,-122.19,37.78,52,2492,415,1109,375,4.3125,164.4
228,-122.19,37.78,52,2198,397,984,369,3.22,156.5
229,-122.19,37.78,52,1070,193,555,190,3.7262,166.9
230,-122.2,37.78,45,1766,332,869,327,4.5893,163.5
231,-122.18,37.79,41,1411,233,626,214,7.0875,240.7
232,-122.18,37.79,46,2109,387,922,329,3.9712,208.1
233,-122.19,37.79,50,954,217,546,201,2.6667,172.8
234,-122.18,37.8,34,1355,195,442,195,6.2838,318.2
235,-122.18,37.8,23,2317,336,955,328,6.7527,285.8
236,-122.16,37.79,22,12842,2048,4985,1967,5.9849,371
237,-122.17,37.77,30,3326,746,1704,703,2.875,135.3
238,-122.18,37.78,43,1985,440,1085,407,3.4205,136.7
239,-122.18,37.78,50,1642,322,713,284,3.2984,160.7
240,-122.17,37.78,52,653,128,296,121,4.175,144
241,-122.16,37.77,48,977,194,446,180,4.7708,156.3
242,-122.16,37.77,45,2324,397,968,384,3.5739,176
243,-122.16,37.77,39,1583,349,857,316,3.0958,145.8
244,-122.17,37.77,39,1612,342,912,322,3.3958,141.9
245,-122.17,37.77,31,2424,533,1360,452,1.871,90.7
246,-122.17,37.76,41,1594,367,1074,355,1.9356,90.6
247,-122.17,37.76,47,2118,413,965,382,2.1842,107.9
248,-122.18,37.76,37,1575,358,933,320,2.2917,107
249,-122.17,37.76,38,1764,397,987,354,2.4333,98.2
250,-122.18,37.76,50,1187,261,907,246,1.9479,89.5
251,-122.18,37.76,52,754,175,447,165,3.9063,93.8
252,-122.18,37.76,49,2308,452,1299,451,1.8407,96.7
253,-122.18,37.77,27,909,236,396,157,2.0786,97.5
254,-122.18,37.76,43,2018,408,1111,367,1.8913,91.2
255,-122.19,37.76,49,1368,282,790,269,1.7056,91.4
256,-122.18,37.77,51,2107,471,1173,438,3.2552,120.1
257,-122.19,37.76,52,2024,391,1030,350,2.4659,94.7
258,-122.19,37.77,41,2036,510,1412,454,2.0469,89.3
259,-122.19,37.77,45,1852,393,1132,349,2.7159,101.4
260,-122.19,37.76,41,921,207,522,159,1.2083,72.5
261,-122.19,37.76,45,995,238,630,237,1.925,74.1
262,-122.2,37.76,37,2680,736,1925,667,1.4097,84.6
263,-122.19,37.76,38,1493,370,1144,351,0.7683,81.8
264,-122.19,37.75,19,2207,565,1481,520,1.3194,81.4
265,-122.19,37.75,28,856,189,435,162,0.8012,81.8
266,-122.19,37.74,36,847,212,567,159,1.1765,87.1
267,-122.18,37.74,42,541,154,380,123,2.3456,83.5
268,-122.19,37.73,44,1066,253,825,244,2.1538,79.7
269,-122.19,37.73,45,1528,291,801,287,1.2625,84.7
270,-122.18,37.73,42,909,215,646,198,2.9063,80
271,-122.18,37.73,43,1391,293,855,285,2.5192,76.4
272,-122.18,37.73,42,4074,874,2736,780,2.455,82.4
273,-122.17,37.74,41,1613,445,1481,414,2.4028,97.7
274,-122.17,37.74,43,818,193,494,179,2.4776,101.6
275,-122.17,37.73,43,1473,371,1231,341,2.1587,86.5
276,-122.18,37.74,35,504,126,323,109,1.8438,90.5
277,-122.17,37.74,46,1026,226,749,225,3.0298,107.6
278,-122.17,37.74,46,769,183,693,178,2.25,84.2
279,-122.18,37.74,46,2103,391,1339,354,2.2467,88.9
280,-122.18,37.75,46,941,218,621,195,1.325,87.1
281,-122.17,37.75,38,992,279,732,259,1.6196,85.1
282,-122.18,37.75,45,990,261,901,260,2.1731,82
283,-122.19,37.75,36,1126,263,482,150,1.9167,82.8
284,-122.18,37.75,43,1036,233,652,213,2.069,84.6
285,-122.18,37.75,36,1047,214,651,166,1.712,82.1
286,-122.17,37.76,33,1280,307,999,286,2.5625,89.3
287,-122.17,37.75,43,1587,320,907,306,1.9821,98.3
288,-122.17,37.75,41,1257,271,828,230,2.5043,92.3
289,-122.17,37.75,48,1751,390,935,349,1.4375,90
290,-122.16,37.76,45,2299,514,1437,484,2.5122,95.5
291,-122.16,37.75,38,2457,624,1516,482,1.5625,91.7
292,-122.17,37.75,47,998,211,597,185,3.1587,100.4
293,-122.17,37.76,40,1685,343,949,342,1.8426,94.8
294,-122.16,37.76,46,1827,307,881,302,4.6696,164.3
295,-122.16,37.76,36,2781,574,1438,519,2.4598,155.5
296,-122.15,37.76,39,1823,286,763,270,6.0749,196.9
297,-122.14,37.77,27,2229,365,1297,355,4.8304,279.1
298,-122.14,37.76,34,1513,231,545,211,5.5701,252.8
299,-122.12,37.75,33,1809,261,808,219,6.86,250
300,-122.12,37.75,28,794,111,329,109,7.6923,329.8
301,-122.13,37.75,30,414,54,137,50,4.975,311.1
302,-122.13,37.75,36,768,93,229,93,5.3602,330
303,-122.13,37.74,41,4400,666,1476,648,5,248.9
304,-122.16,37.75,46,954,161,429,154,2.925,142.9
305,-122.15,37.75,40,1445,256,849,255,3.8913,126.3
306,-122.15,37.75,44,1938,399,946,331,3.225,135.8
307,-122.16,37.75,24,1790,454,1137,386,2.537,107.9
308,-122.15,37.74,43,1383,275,853,272,3.5083,122
309,-122.16,37.75,40,1227,294,928,261,1.8235,95.2
310,-122.16,37.75,35,667,140,406,133,3.8047,94.3
311,-122.17,37.74,34,1223,281,824,280,2.2917,92.5
312,-122.17,37.75,37,1379,287,835,259,2.4962,91.8
313,-122.16,37.74,43,1534,300,826,295,4.0417,109.4
314,-122.16,37.74,52,771,147,355,144,4.1458,143.4
315,-122.16,37.74,47,824,223,533,166,2.625,98.2
316,-122.16,37.74,44,1097,239,609,215,2.0227,103.1
317,-122.29,37.9,49,1283,238,576,236,3.3333,276.8
318,-122.29,37.89,52,2248,422,870,377,3.4732,246.2
319,-122.3,37.9,38,2263,522,1027,509,3.5125,224.2
320,-122.29,37.89,52,1571,349,693,326,3.1375,229.1
321,-122.3,37.89,46,1520,402,815,375,2.8036,211.6
322,-122.3,37.9,15,5083,1212,2420,1146,4.5824,256.1
323,-122.3,37.89,36,1077,293,518,276,3.0208,206.3
324,-122.3,37.89,52,1248,283,620,275,4.0875,221.3
325,-122.33,37.89,42,1342,291,551,266,4.5268,207.4
326,-122.34,37.88,37,3061,930,2556,924,1.7375,350
327,-122.29,37.89,52,3171,698,1498,696,3.1795,218.2
328,-122.29,37.88,50,1211,261,523,227,3.8672,216.7
329,-122.29,37.89,52,979,175,374,153,5.1675,270.6
330,-122.29,37.89,52,2269,380,1004,371,5.1696,261.4
331,-122.27,37.9,42,1650,274,645,256,5.6228,375.4
332,-122.27,37.9,52,1803,240,572,236,6.174,358.8
333,-122.27,37.9,52,2041,270,671,253,6.9414,417.5
334,-122.27,37.89,52,3046,373,975,365,8.8342,430.5
335,-122.28,37.9,52,2318,328,779,312,7.1754,362.9
336,-122.28,37.9,52,2003,250,658,244,10.0825,397
337,-122.28,37.89,52,1225,169,412,168,5.7912,327.1
338,-122.28,37.89,52,2315,408,835,369,4.5893,290.1
339,-122.28,37.89,52,2070,329,722,306,5.4171,292
340,-122.27,37.89,52,2640,366,973,355,7.266,371.1
341,-122.27,37.89,52,1978,293,723,272,5.3989,335.6
342,-122.25,37.89,41,1125,195,356,181,6.1593,344
343,-122.26,37.89,52,3078,494,1005,462,6.381,342.2
344,-122.26,37.89,52,3706,531,1205,504,6.6828,370.9
345,-122.25,37.89,37,3000,457,987,450,7.5385,350
346,-122.25,37.89,42,2863,460,1031,448,6.7138,368.6
347,-122.26,37.88,52,2551,417,894,404,6.2425,391.8
348,-122.26,37.88,52,2255,410,823,377,5.7979,415.3
349,-122.27,37.88,52,3360,648,1232,621,4.2813,284.9
350,-122.27,37.88,52,1693,391,669,367,3.5417,287.5
351,-122.27,37.88,44,2252,592,989,550,3.0132,272.9
352,-122.28,37.88,52,2495,491,1058,464,4.1429,259.6
353,-122.29,37.88,52,2159,424,824,388,3.8897,218.4
354,-122.29,37.88,48,2365,490,1034,475,3.1065,229.2
355,-122.29,37.88,46,1895,442,920,425,2.9926,192.1
356,-122.29,37.88,52,1650,395,841,380,3.556,179.3
357,-122.3,37.88,45,453,146,749,137,1.475,187.5
358,-122.3,37.87,10,503,118,228,100,2.1705,150
359,-122.29,37.85,52,477,119,218,106,2.5682,120
360,-122.3,37.88,46,1647,376,854,355,2.9,144.8
361,-122.3,37.87,52,3123,749,1695,684,2.2208,144.8
362,-122.28,37.88,52,957,188,403,172,3.2344,245.5
363,-122.28,37.87,52,589,132,288,131,3.5156,200
364,-122.28,37.87,49,2026,548,963,521,1.9805,173.7
365,-122.29,37.87,50,1829,536,1129,516,2.6684,185.6
366,-122.28,37.88,52,1909,416,811,406,3.006,227.9
367,-122.28,37.87,46,3022,696,1293,675,2.543,220.7
368,-122.28,37.87,46,1777,446,805,431,2.8676,212
369,-122.27,37.88,52,2803,930,1372,876,2.1907,271.4
370,-122.27,37.87,30,1465,439,862,425,1.7778,268.8
371,-122.27,37.88,37,2619,682,1152,616,2.52,277.8
372,-122.26,37.88,52,1149,255,483,249,4.2788,332.5
373,-122.26,37.88,52,2363,604,1558,573,2.944,338.9
374,-122.26,37.88,52,2604,837,1798,769,1.725,287.5
375,-122.25,37.87,41,685,141,266,123,5.2289,384.6
376,-122.25,37.87,42,1756,465,2184,422,2.5562,371.4
377,-122.26,37.87,52,1087,371,3337,350,1.4012,175
378,-122.26,37.87,52,2773,998,1721,949,1.1859,241.7
379,-122.27,37.87,35,3218,1108,1675,1000,1.7464,216.7
380,-122.27,37.87,49,1350,368,707,350,2.8846,211.3
381,-122.27,37.87,52,3084,698,1424,694,2.7372,210.2
382,-122.28,37.86,52,938,195,393,189,3.8594,196.4
383,-122.28,37.87,52,1813,353,828,339,3.5625,191.7
384,-122.28,37.87,52,1233,300,571,292,2.2788,182.3
385,-122.29,37.87,44,2539,755,1382,713,2.537,175
386,-122.29,37.87,46,1267,324,792,321,2.525,165.9
387,-122.29,37.86,52,1665,404,815,372,1.9946,156.9
388,-122.28,37.86,52,1659,367,788,346,2.8214,164.3
389,-122.29,37.87,52,2225,460,1145,430,2.6165,150
390,-122.29,37.86,50,2485,607,1354,563,1.9483,150.5
391,-122.28,37.86,52,2031,450,958,445,1.9327,169.9
392,-122.28,37.86,49,2932,668,1361,608,1.9798,147.4
393,-122.28,37.85,52,2246,472,1005,449,2.4167,152.7
394,-122.27,37.86,49,2052,435,924,414,2.5417,182.7
395,-122.28,37.86,52,1999,417,780,358,3.3906,179.3
396,-122.28,37.86,52,3007,691,1582,636,2.5652,157.7
397,-122.27,37.86,52,1088,305,486,267,2.6071,250
398,-122.27,37.86,52,834,186,494,175,3.15,206.3
399,-122.27,37.86,52,1769,372,849,365,2.6914,218.8
400,-122.27,37.86,52,2307,583,1127,548,1.8447,198.2
401,-122.26,37.86,35,5161,1744,3276,1742,1.6307,253.6
402,-122.26,37.86,52,3497,832,1493,794,2.9044,257.4
403,-122.26,37.86,52,3774,744,1461,679,2.9405,289.5
404,-122.26,37.86,52,2888,604,1253,538,3.3893,241.7
405,-122.25,37.86,48,2153,517,1656,459,3.0417,489.6
406,-122.25,37.86,52,1709,318,719,295,5.0463,456.3
407,-122.24,37.86,52,1668,225,517,214,7.8521,500.001
408,-122.25,37.86,52,4048,663,1316,590,5.3794,376.9
409,-122.26,37.85,52,3618,768,1508,755,3.2619,309.6
410,-122.27,37.85,52,4076,920,1800,815,2.7054,182.3
411,-122.27,37.85,47,2077,400,719,326,2.2431,172.7
412,-122.27,37.85,50,1279,300,675,255,1.9028,150.8
413,-122.27,37.85,52,1974,426,875,363,1.5817,153.6
414,-122.27,37.85,52,335,83,152,77,2.2841,106.3
415,-122.28,37.85,52,610,145,281,132,2.9018,119.4
416,-122.28,37.85,48,2063,484,1054,466,2.2625,132.9
417,-122.29,37.84,35,1872,419,1017,414,2.2106,132.5
418,-122.28,37.83,52,3108,813,1623,765,2.6997,126.9
419,-122.3,37.84,14,7355,2408,3100,2051,4.0018,143.8
420,-122.23,37.83,52,2990,379,947,361,7.8772,500.001
421,-122.22,37.82,42,2991,335,1018,335,13.499,500.001
422,-122.23,37.82,52,3242,366,1001,352,12.2138,500.001
423,-122.23,37.82,52,3051,381,1005,369,8.1872,466.1
424,-122.23,37.82,52,3494,396,1192,383,12.3804,500.001
425,-122.24,37.83,52,1757,246,585,227,5.8948,457.8
426,-122.23,37.82,52,1611,203,556,179,8.7477,500.001
427,-122.25,37.82,52,2474,403,1104,398,5.883,340.7
428,-122.23,37.76,52,2269,323,805,321,4.7188,335.3
429,-122.23,37.76,52,1316,177,378,162,5.2915,333
430,-122.24,37.77,52,1153,235,481,223,2.6411,241
431,-122.23,37.77,52,772,179,409,160,3.3214,189.6
432,-122.24,37.77,52,1711,386,885,373,3.6417,206.3
433,-122.25,37.77,52,1038,220,482,215,3.1771,210.2
434,-122.25,37.77,52,1527,320,825,264,3.4531,208.8
435,-122.26,37.78,52,970,217,528,208,3.3438,201.3
436,-122.26,37.78,52,1045,239,496,216,2.9213,190.8
437,-122.27,37.78,52,1408,280,718,265,2.6806,207.9
438,-122.27,37.78,13,2020,535,959,486,5.2601,292.7
439,-122.28,37.79,30,4145,869,3668,855,2.5444,275
440,-122.3,37.77,42,2038,368,2037,355,2.6447,200
441,-122.28,37.78,29,5154,1394,3741,1273,2.5762,173.4
442,-122.29,37.78,42,1241,309,821,300,1.9427,102.2
443,-122.28,37.77,52,1468,363,870,347,2.9688,220.8
444,-122.28,37.77,27,3997,1073,1901,966,3.75,242.8
445,-122.29,37.76,18,2873,763,1243,663,5.1702,265.4
446,-122.26,37.77,52,1670,350,793,299,2.9732,282.1
447,-122.27,37.77,52,1731,377,872,363,4.1667,225.8
448,-122.27,37.77,52,1710,481,849,457,2.7115,220.8
449,-122.27,37.77,52,2388,559,1121,518,3.3269,234.5
