Customer,Spending,Card,Coupon
145,2815,1,No
530,2387,0,No
391,987,0,No
545,1507,1,No
751,1392,0,No
39,1124,0,No
614,2047,1,No
425,2016,0,No
965,2328,0,No
717,1405,1,No
304,2380,0,No
168,3173,0,No
221,1292,1,No
658,2912,0,No
949,1794,1,No
130,3333,1,Yes
245,3967,1,No
195,2076,1,No
810,3030,0,No
568,3447,1,No
752,2507,0,No
468,7718,1,Yes
107,1802,0,No
807,1616,1,No
435,1194,0,No
967,4096,1,Yes
506,3868,0,No
603,947,0,No
526,3159,1,No
939,2186,0,No
746,5969,1,Yes
214,3556,1,No
803,4838,1,Yes
551,2492,1,No
218,1488,0,No
579,4803,0,No
623,1754,0,No
888,3189,0,No
884,2381,0,No
158,7149,1,Yes
718,2603,1,No
789,3740,1,No
330,2918,0,No
370,4308,0,No
105,2402,1,No
834,2453,1,No
438,2257,0,No
707,2427,0,No
594,4129,0,No
909,1492,0,No
337,1349,0,No
664,2509,0,No
447,4842,1,Yes
360,4546,1,Yes
388,2717,0,No
769,2169,1,No
997,1936,0,No
912,3468,1,Yes
403,6087,1,Yes
70,2059,0,No
989,3854,0,No
882,2527,0,No
830,3675,1,No
499,2264,0,No
295,5027,1,Yes
933,2558,1,No
956,2862,0,No
922,5335,1,Yes
925,472,1,No
616,2049,0,No
798,3277,1,No
788,1358,1,No
796,5979,0,No
523,1391,0,No
631,1451,1,No
224,2265,0,No
666,1299,1,No
392,2090,1,No
50,4004,1,Yes
673,1742,0,No
252,3092,1,No
286,2166,0,No
117,968,1,No
611,2583,1,No
687,2033,0,No
55,1677,1,No
257,2655,1,No
735,4555,0,No
260,5774,0,No
536,944,1,No
713,1088,0,No
489,2737,0,No
699,2205,1,No
625,2669,1,No
576,2993,1,No
442,3275,0,No
702,2784,0,No
907,3730,1,No
421,4340,0,No
77,5991,0,Yes
53,4414,0,No
125,3276,1,No
587,1803,0,No
733,3017,1,No
761,1682,1,No
927,2231,1,No
748,2542,0,No
476,1007,1,No
208,1349,0,No
542,2125,0,No
154,5319,1,Yes
754,1700,1,No
222,2922,0,No
517,5398,0,No
924,2885,1,No
426,8007,1,Yes
472,3310,1,No
2,3215,1,No
548,2464,0,No
184,3471,0,No
236,2050,1,No
648,3043,0,No
515,3965,1,Yes
486,2839,1,No
630,3357,0,No
955,1552,0,No
756,7207,0,No
875,3892,0,No
229,1649,1,No
774,3412,0,No
104,4787,0,No
903,4384,0,No
660,6507,0,No
575,4717,1,No
163,1221,1,No
411,1933,0,No
694,6959,1,Yes
460,4683,1,Yes
795,4239,0,No
290,6855,1,Yes
207,797,1,No
328,3384,0,No
350,2481,1,No
971,1816,1,No
470,4084,1,Yes
869,1540,1,No
964,3359,0,No
966,1710,0,No
667,9102,0,Yes
457,1655,0,No
126,5198,0,No
385,5990,0,No
516,1688,1,No
560,3015,0,No
228,2743,0,No
347,1872,0,No
729,3008,1,No
716,5597,1,Yes
840,1148,1,No
204,2483,0,No
235,1935,0,No
170,7137,1,Yes
996,804,1,No
422,2891,0,No
13,1512,0,No
223,5344,1,Yes
497,3561,0,No
731,2107,0,No
493,1747,0,No
910,3255,1,No
887,5284,1,Yes
243,2777,1,No
285,2732,0,No
318,2684,1,No
314,2815,0,No
335,2165,1,No
463,2224,1,No
727,1625,1,No
38,6851,1,Yes
99,2630,1,No
758,2050,1,No
979,2049,1,No
248,2855,1,No
440,1668,1,No
138,1856,1,No
144,2064,0,No
251,2739,0,No
738,3510,0,No
333,6023,1,Yes
982,3277,0,No
31,1138,0,No
473,5375,1,Yes
492,2668,1,No
569,3871,1,No
27,3993,1,Yes
703,1763,0,No
863,2681,0,No
852,3414,0,No
354,2362,0,No
94,6073,1,Yes
541,2045,0,No
194,6204,0,No
14,2148,0,Yes
394,3165,0,No
785,1765,1,No
502,2352,1,No
361,4516,0,No
17,1307,0,No
72,2323,1,No
899,1302,1,No
808,2196,0,No
655,2269,1,No
4,3924,0,No
596,2513,1,No
837,7406,1,Yes
165,5028,1,Yes
565,5020,0,No
602,4637,1,Yes
776,2751,1,No
500,2284,0,No
562,4369,1,Yes
914,1607,0,No
309,4724,0,No
617,1070,1,No
467,9216,0,Yes
43,1657,1,No
821,2233,1,No
237,5935,0,No
589,2911,0,No
932,4417,1,No
873,3095,0,No
977,2063,1,No
36,1980,1,No
942,4685,1,Yes
674,5976,1,Yes
571,7399,1,Yes
824,3182,1,No
573,3417,1,Yes
599,2306,1,No
458,5661,0,No
439,1578,0,No
275,2497,1,No
116,2366,0,No
697,2733,1,No
851,2133,1,No
279,9043,1,Yes
10,3345,0,No
6,2473,0,Yes
609,5120,0,No
368,2582,1,No
1000,5816,1,Yes
456,10470,1,Yes
747,2360,0,No
64,2049,0,No
930,3268,1,Yes
765,3544,0,No
183,2044,0,No
139,5257,1,Yes
833,1028,0,No
781,7036,1,Yes
407,2782,1,No
800,1855,1,No
653,1183,1,No
558,8302,0,Yes
740,5955,1,Yes
566,1297,1,No
654,804,1,No
539,3830,1,No
405,4623,1,Yes
612,4135,0,No
281,3419,0,No
378,5144,0,No
233,2553,0,No
247,2868,1,No
509,1995,0,No
685,1734,0,No
162,3242,1,No
51,1068,1,Yes
690,7456,1,Yes
879,2291,1,No
701,5142,1,Yes
554,3149,1,No
540,984,1,No
268,1371,0,No
680,10367,0,Yes
69,3253,0,No
147,6930,0,No
853,5059,1,No
140,3575,0,No
943,2949,1,No
886,6701,0,No
419,3045,0,No
87,6486,1,Yes
410,1455,1,No
763,1295,1,No
191,1553,0,No
725,4051,1,Yes
307,3524,1,No
487,3283,0,No
313,2079,0,No
362,487,1,No
714,3291,0,No
606,798,0,No
721,5180,1,Yes
44,1075,0,No
259,3631,1,No
860,1564,0,No
619,1793,1,No
176,2309,0,No
258,2687,1,No
981,2633,0,No
344,1959,0,No
3,2135,1,No
954,3542,0,No
881,1995,1,No
974,3514,1,No
582,4373,1,No
512,3065,1,No
948,2139,0,No
691,5214,1,Yes
293,1835,0,No
567,1733,0,No
862,6063,0,No
319,6988,1,Yes
710,2325,0,No
19,2936,0,No
283,1395,1,No
634,1747,1,No
74,2678,1,Yes
592,3452,1,No
379,2455,0,No
101,3685,0,No
364,3449,1,No
299,4349,0,No
665,5661,1,Yes
597,12398,0,Yes
58,5501,0,No
102,4914,0,No
845,1896,1,No
601,1233,1,No
225,2957,1,No
359,7311,1,Yes
63,2936,1,No
253,2187,0,No
430,10726,1,Yes
706,2495,0,No
401,3755,0,No
326,4179,1,No
750,6994,1,Yes
284,5194,0,No
358,2660,1,No
791,2466,0,No
792,2082,1,No
557,11168,0,Yes
265,2320,0,No
533,1487,0,No
175,2310,1,No
177,4832,0,No
734,2300,1,No
773,1420,0,No
521,3145,0,No
173,2915,1,No
855,2130,1,No
199,2002,1,No
7,2384,0,No
946,2652,0,No
86,6737,1,Yes
291,1363,1,No
610,3080,1,No
768,2338,0,No
428,4494,1,No
828,2999,1,No
30,2229,0,Yes
469,5529,0,No
815,5561,0,No
709,2555,1,No
944,2202,1,No
67,2291,0,No
353,2421,0,No
600,2125,0,No
85,2135,0,Yes
826,9627,1,Yes
976,3368,1,No
940,3680,1,Yes
892,2900,0,No
271,2750,0,No
528,1662,1,No
762,1563,0,No
137,6474,1,Yes
352,3615,0,No
75,6179,1,Yes
806,2338,1,No
111,6761,1,Yes
890,2528,1,No
52,2421,0,No
823,1709,0,No
40,1911,0,No
312,4343,0,No
730,2308,1,No
825,2714,1,No
389,2971,0,No
226,2594,0,No
812,1783,0,No
832,2447,0,No
93,4959,1,Yes
216,3799,1,No
103,1366,1,No
341,745,0,No
131,4207,1,Yes
301,1465,0,No
345,3207,1,No
847,3025,1,No
227,5308,1,Yes
206,2048,1,No
668,4164,1,No
801,1617,0,No
152,2678,1,No
900,4050,0,No
213,2375,1,No
809,8665,0,Yes
395,2713,1,No
46,2118,0,No
417,3957,1,No
999,1970,1,No
9,1182,1,Yes
529,3976,0,No
505,3700,0,No
471,1392,1,No
574,4201,0,No
836,2836,1,No
231,1669,0,No
885,5216,0,No
811,3772,0,No
331,3198,0,No
960,708,0,No
90,6404,1,No
913,3781,0,No
784,4300,0,No
532,1411,0,No
79,3255,1,Yes
124,2146,1,No
963,2008,0,No
383,8469,1,Yes
783,3264,1,No
804,2661,1,No
683,1365,1,No
802,2868,1,No
450,3044,0,No
461,2434,1,No
878,2995,0,No
305,1008,0,No
657,4442,0,No
374,1844,1,No
904,2399,0,No
367,6643,0,No
615,2604,1,No
650,2580,1,No
711,3044,1,No
160,4000,1,Yes
632,3653,1,No
613,3965,1,Yes
273,2754,0,No
684,6448,0,No
689,12095,0,Yes
543,4051,1,No
722,2411,1,No
708,4320,0,No
759,2087,0,No
484,3743,1,Yes
198,3428,0,No
507,4357,0,No
928,2965,1,No
155,4281,0,No
483,2351,1,No
127,3508,1,Yes
513,2358,1,No
382,2225,0,No
197,1055,1,No
135,2793,0,No
627,4527,1,Yes
724,3277,1,No
339,5953,1,Yes
180,2136,0,No
550,2695,1,No
598,4501,1,Yes
459,4384,0,No
151,4073,0,No
639,1940,0,No
172,2697,1,No
423,6368,1,Yes
858,1889,0,No
121,4005,1,Yes
620,8117,1,Yes
638,2455,0,No
877,6390,0,No
178,6727,0,No
799,2278,0,No
276,9006,0,Yes
34,5365,0,No
671,6450,0,No
365,3934,1,No
508,2762,0,No
96,3318,0,No
700,6918,1,Yes
581,2086,0,No
696,1209,0,No
736,3971,1,No
480,2349,0,No
288,3131,1,No
786,2968,1,No
805,3390,0,No
905,4369,0,No
255,1919,1,No
682,2573,1,No
490,1452,1,No
757,5278,0,No
238,4293,1,No
898,2556,0,No
608,3492,0,No
203,3079,1,No
306,2392,0,No
544,1090,1,No
962,6113,1,Yes
296,7707,1,Yes
424,2506,1,No
149,2719,1,No
779,1634,0,No
406,13645,1,Yes
310,5497,0,No
