Observation,Vote,Age,HomeOwner,Gender,Married,HouseholdSize,Income,Education,Religious
321,decided,61,1,female,1,3,95,20,1
322,undecided,53,1,female,1,4,39,20,0
323,undecided,52,1,female,1,5,21,16,0
324,undecided,45,1,female,1,4,218,18,0
325,undecided,58,1,female,1,3,39,20,0
326,undecided,59,1,other,1,2,132,16,0
327,decided,37,1,female,1,4,76,18,1
328,decided,62,0,female,1,5,64,8,1
329,undecided,31,1,male,1,3,79,15,1
330,decided,46,1,female,1,3,133,9,0
331,undecided,48,1,female,1,2,40,18,0
332,decided,52,0,female,1,3,5,12,1
333,undecided,34,1,female,1,4,167,15,1
334,decided,44,1,female,1,4,90,12,1
335,decided,59,1,male,1,4,43,20,1
336,decided,50,0,female,1,2,83,20,1
337,decided,39,1,other,1,7,323,8,0
338,decided,33,1,female,1,6,99,12,0
339,decided,42,1,female,1,4,142,18,1
340,decided,52,1,female,1,4,121.5,20,1
341,decided,49,1,female,1,6,102,20,1
342,decided,58,1,male,1,4,14,8,0
343,decided,46,1,female,0,2,88,20,1
344,decided,48,0,male,1,3,17,8,1
345,decided,54,1,male,1,3,175,15,0
346,decided,38,1,female,1,5,58.5,8,1
347,undecided,41,0,female,1,5,74,15,0
348,undecided,69,1,female,1,2,26,16,0
349,decided,69,0,male,1,2,96,20,0
350,undecided,62,1,female,1,4,67.5,20,0
351,decided,55,1,female,1,5,285,10,1
352,undecided,33,1,female,1,2,121,15,1
353,decided,50,1,female,1,2,54,10,0
354,decided,45,1,male,1,3,5,20,0
355,decided,48,1,female,1,4,156,8,0
356,decided,45,1,female,1,2,99,8,1
357,undecided,47,1,female,1,4,72,15,1
358,decided,57,1,female,0,3,43,20,1
359,undecided,46,1,female,1,3,165,20,0
360,undecided,59,1,female,1,2,112,20,0
361,decided,43,1,female,1,2,95,12,1
362,decided,48,1,female,1,7,102,9,1
363,decided,48,1,male,1,3,257,15,1
364,undecided,44,1,other,1,6,91,15,0
365,decided,45,1,female,1,4,91,9,0
366,decided,50,1,male,1,4,35,8,0
367,undecided,59,1,male,0,1,112,13,1
368,undecided,51,1,female,1,2,110,16,0
369,undecided,41,1,female,1,3,70,20,0
370,undecided,45,1,other,1,6,121,15,1
371,undecided,64,1,female,1,6,81,20,0
372,undecided,33,1,female,0,1,114,18,0
373,decided,45,1,female,1,5,92,8,0
374,undecided,50,1,female,1,3,161,20,0
375,undecided,37,1,female,1,2,37,15,1
376,decided,58,0,female,1,5,176.5,8,0
377,undecided,39,1,male,1,2,92.5,15,1
378,decided,42,0,male,1,3,141,18,0
379,undecided,35,1,female,1,2,34,15,1
380,undecided,40,0,female,1,5,114,15,0
381,undecided,50,1,female,1,4,73,18,0
382,decided,60,1,male,1,5,122,20,1
383,undecided,45,1,male,1,3,61,16,1
384,undecided,30,1,female,1,3,171,15,1
385,decided,61,1,male,1,3,150,20,0
386,decided,37,1,male,0,1,47,18,1
387,decided,56,0,female,1,3,46,20,1
388,decided,40,1,female,1,4,233,18,1
389,undecided,59,1,other,1,4,41.5,20,0
390,decided,63,1,female,1,6,152,20,1
391,decided,47,1,female,1,2,178,20,1
392,decided,66,1,male,1,6,92,20,1
393,undecided,48,1,female,1,4,135,15,1
394,undecided,63,1,female,1,2,64,20,0
395,decided,49,1,female,1,4,43,18,1
396,undecided,50,1,female,1,6,138,18,0
397,decided,57,1,other,0,1,99,20,1
398,undecided,57,1,female,1,3,116,20,0
399,undecided,51,1,female,1,5,108,16,1
400,decided,60,1,male,1,3,101,20,1
401,decided,37,1,female,1,3,108.5,18,1
402,undecided,50,1,female,1,4,99,20,0
403,decided,39,1,female,1,3,131,12,0
404,undecided,48,1,female,0,1,17,18,0
405,decided,55,1,female,0,2,66,20,1
406,decided,43,0,female,1,6,115.5,8,1
407,decided,47,1,female,1,4,51,8,1
408,undecided,44,0,female,1,3,130,16,0
409,decided,51,1,female,1,2,168,20,1
410,decided,52,1,male,0,1,95,18,1
411,undecided,55,1,female,1,4,235,18,0
412,undecided,47,1,female,1,4,48,20,0
413,undecided,39,1,female,1,3,101,15,0
414,decided,52,1,female,1,2,100,18,1
415,decided,58,1,female,0,1,64.5,8,0
416,undecided,67,1,male,1,6,134,13,1
417,decided,47,1,male,1,4,285,15,0
418,undecided,45,1,female,1,4,88,18,0
419,decided,46,0,male,1,2,151.5,9,0
420,decided,47,1,male,1,4,247,15,1
421,decided,66,1,male,1,3,15,20,0
422,decided,33,1,female,1,3,215,15,0
423,decided,53,1,male,1,2,213,18,0
424,undecided,47,1,female,1,2,172,16,0
425,undecided,40,1,female,1,4,115,15,0
426,undecided,67,1,female,1,3,59,20,0
427,decided,55,1,male,1,4,46,12,0
428,decided,65,0,male,1,2,6,10,0
429,decided,33,1,female,1,3,314,15,0
430,decided,42,1,female,1,2,59.5,18,1
431,decided,55,1,female,1,4,130,18,1
432,decided,46,1,female,0,2,280,20,1
433,undecided,43,1,other,1,2,135,15,1
434,decided,51,1,female,1,4,177,16,1
435,decided,51,1,other,1,4,266,15,0
436,decided,56,0,female,0,1,131,8,0
437,undecided,62,1,female,1,5,140,20,0
438,decided,51,1,other,1,5,17,10,0
439,undecided,51,1,female,1,5,123,18,0
440,decided,35,1,female,1,5,83,12,0
441,decided,50,1,male,1,6,69,10,1
442,undecided,35,1,female,1,3,108,18,0
443,undecided,70,1,female,0,2,46,20,0
444,decided,48,0,female,1,4,398,15,1
445,undecided,50,1,female,1,6,106,15,1
446,undecided,33,1,female,1,4,135,15,1
447,decided,37,1,female,1,6,37,8,0
448,decided,60,1,female,0,1,23,20,1
449,decided,56,1,male,1,3,99,20,0
450,undecided,48,1,female,1,2,134,20,0
451,undecided,57,1,male,0,2,80,13,1
452,undecided,62,1,female,1,4,202,20,0
453,undecided,57,1,female,1,2,101,20,0
454,undecided,33,1,male,1,3,103,15,0
455,decided,56,1,female,1,6,154,8,0
456,decided,29,1,female,0,1,78,9,0
457,decided,45,1,female,1,5,143,8,0
458,decided,41,0,female,1,5,40,8,0
459,decided,44,0,female,1,4,13,8,1
460,undecided,78,1,female,0,1,91,16,0
461,decided,55,1,female,1,5,44,20,1
462,undecided,37,1,female,1,4,100,15,1
463,decided,50,0,female,1,4,94,12,0
464,decided,59,1,other,1,2,76,20,1
465,decided,46,0,male,1,2,125.5,8,1
466,decided,51,1,female,1,3,81,20,1
467,decided,47,0,female,1,2,193,15,0
468,undecided,55,1,female,0,2,43,20,0
469,decided,44,1,female,1,3,58,20,1
470,undecided,46,1,female,0,1,75,18,0
471,decided,64,1,female,1,2,73,20,1
472,decided,34,1,female,1,4,238,18,1
473,decided,62,0,female,0,2,118,8,0
474,undecided,48,1,other,1,5,95,16,0
475,decided,60,1,other,0,1,41,20,1
476,undecided,39,1,male,1,5,102,15,0
477,decided,68,1,male,1,2,31,20,0
478,undecided,34,0,female,1,5,125,15,0
479,decided,43,1,female,0,2,58,12,1
480,decided,60,1,female,1,2,73,8,1
481,undecided,49,1,female,1,3,106,18,0
482,decided,49,1,female,1,3,112,20,1
483,undecided,68,1,other,1,3,63,20,0
484,decided,41,0,male,1,3,136,18,1
485,undecided,38,0,female,1,3,48,15,0
486,undecided,51,1,other,0,1,58,20,0
487,decided,44,1,female,0,2,26,8,1
488,decided,49,1,female,0,1,108,18,1
489,decided,59,0,male,1,2,70,20,0
490,decided,45,1,female,1,4,66,12,0
491,undecided,45,1,female,1,6,128,15,0
492,decided,57,1,male,1,2,69,20,1
493,decided,66,1,male,1,4,142,20,1
494,undecided,56,1,female,1,2,130,20,0
495,decided,45,0,female,1,6,244,12,1
496,undecided,41,1,female,1,2,96,20,0
497,undecided,74,1,female,1,3,37,13,0
498,decided,37,1,male,0,1,23,8,1
499,decided,57,0,male,1,7,70,20,0
500,undecided,48,1,female,1,5,97,16,1
501,decided,35,1,female,1,3,503,15,0
502,decided,36,1,female,1,4,177,15,1
503,decided,43,1,male,1,4,61,18,1
504,undecided,57,1,female,1,2,160,18,1
505,undecided,50,1,female,1,5,135,15,1
506,decided,47,1,female,1,7,26,12,0
507,undecided,53,1,female,1,4,134,20,0
508,decided,55,1,female,1,2,158,20,1
509,undecided,33,1,female,1,6,25,15,0
510,decided,38,1,male,1,7,141,18,1
511,undecided,57,1,female,1,3,145,8,0
512,decided,70,1,male,1,3,124,20,0
513,decided,51,0,male,0,1,6,8,1
514,decided,38,0,female,1,5,185,18,1
515,decided,37,1,male,0,1,84,18,1
516,decided,41,1,female,1,5,150,18,1
517,decided,58,1,male,1,3,128,8,0
518,undecided,50,1,female,1,5,123,15,1
519,decided,42,1,female,1,2,68,20,1
520,undecided,47,1,female,1,3,159,15,1
521,decided,33,1,female,1,5,226,15,1
522,decided,74,0,female,0,1,20,20,1
523,decided,52,1,female,1,4,4,8,1
524,undecided,34,1,male,1,4,63,15,1
525,decided,43,0,male,1,2,218,15,0
526,decided,49,1,female,0,2,59,18,1
527,undecided,69,1,male,1,6,88.5,13,0
528,undecided,29,1,female,0,4,71,15,0
529,decided,73,0,male,1,3,57,20,1
530,decided,42,1,female,1,5,152,12,0
531,undecided,36,1,female,0,2,41,18,0
532,decided,41,0,female,0,2,31,8,0
533,decided,35,0,female,0,2,38,8,1
534,decided,65,1,female,1,3,114,20,1
535,undecided,42,1,female,1,4,246,18,0
536,undecided,58,1,male,1,5,108,16,1
537,decided,49,1,female,1,4,70,12,1
538,undecided,65,1,female,1,2,62,20,0
539,undecided,50,1,male,1,6,127,15,0
540,undecided,55,1,female,1,2,101,15,0
541,decided,64,1,female,1,4,86,20,1
542,undecided,35,1,female,1,3,100,15,0
543,undecided,43,1,female,1,2,140,15,0
544,undecided,71,1,female,0,1,19,20,0
545,decided,44,1,female,1,4,5,8,1
546,undecided,48,1,female,1,2,80,15,1
547,undecided,46,1,female,1,4,142,15,0
548,undecided,43,1,female,1,2,40,16,0
549,decided,31,1,female,1,6,214,12,0
550,decided,63,1,female,0,1,213,8,0
551,decided,62,1,female,1,3,48,20,1
552,decided,44,1,female,1,5,321,12,0
553,undecided,40,1,female,0,1,33,18,0
554,decided,51,0,female,1,6,123,18,1
555,undecided,60,1,female,0,1,65,20,0
556,decided,57,1,male,1,3,22,8,0
557,decided,40,1,female,1,2,27,18,1
558,undecided,65,1,other,1,4,88,20,0
559,undecided,46,1,female,1,6,127,15,0
560,decided,46,1,male,1,4,175.5,15,1
561,decided,47,1,female,1,2,77,8,1
562,decided,45,1,female,1,4,92,20,1
563,decided,51,1,male,1,2,122,18,0
564,decided,61,1,male,1,6,101,20,0
565,undecided,38,1,other,1,2,37,18,0
566,undecided,37,1,female,1,6,91,15,0
567,undecided,38,1,female,1,4,126,15,1
568,undecided,45,1,female,0,1,108,18,0
569,undecided,30,1,female,0,3,107,18,0
570,undecided,51,1,female,0,2,51,18,0
571,decided,46,1,female,1,4,136,18,1
572,decided,52,1,female,1,4,111,20,1
573,decided,58,1,female,0,3,113,20,1
574,undecided,40,1,male,1,5,149,15,1
575,undecided,51,1,female,1,5,60,16,0
576,decided,31,1,female,1,6,334,15,0
577,undecided,48,1,other,1,5,100,15,0
578,decided,49,1,male,1,5,287,15,1
579,undecided,41,1,female,1,5,80,18,0
580,decided,55,1,female,1,6,145,8,1
581,undecided,46,0,male,1,4,87,15,1
582,decided,53,1,male,1,5,62,18,0
583,undecided,33,1,female,1,5,49,15,1
584,decided,40,1,female,1,5,15,12,1
585,decided,54,1,male,1,3,64,18,0
586,undecided,53,1,female,1,6,139,20,0
587,undecided,46,1,female,1,3,79,15,0
588,decided,55,0,male,1,3,318,16,0
589,decided,53,1,female,1,6,183,8,0
590,decided,45,1,other,1,3,180,18,1
591,undecided,35,1,male,1,3,131,15,0
592,decided,43,1,male,0,1,38,20,0
593,undecided,31,1,male,1,7,173,15,0
594,decided,43,1,female,1,5,68,8,0
595,undecided,50,1,female,0,1,71,15,0
596,decided,40,1,female,1,4,69,18,1
597,decided,53,1,female,1,5,82,18,1
598,decided,55,1,female,1,6,285,12,0
599,decided,51,0,female,0,5,46,8,1
600,undecided,34,0,female,1,3,155,15,1
601,decided,43,1,male,1,2,102,9,1
602,decided,44,1,female,1,6,46,18,1
603,decided,44,1,other,1,3,60,8,1
604,decided,45,0,female,1,5,101,8,1
605,undecided,42,1,male,1,7,98,15,0
606,undecided,41,1,female,1,3,134,18,0
607,decided,41,1,female,1,2,151,18,1
608,undecided,52,1,female,1,6,122,15,1
609,decided,45,1,female,1,5,189,8,1
610,undecided,47,1,female,1,3,77,13,0
611,decided,44,1,male,1,5,235,15,0
612,undecided,52,1,female,1,4,163,15,0
613,undecided,57,1,other,0,2,47,18,0
614,undecided,52,1,female,1,6,22,18,0
615,undecided,41,1,female,1,3,81,18,0
616,decided,59,1,female,1,2,231,18,1
617,decided,48,0,female,0,1,35,18,1
618,decided,56,0,male,1,4,483,20,1
619,decided,45,1,female,1,3,78,18,1
620,decided,47,1,female,1,7,67,12,1
621,undecided,66,1,female,1,5,10,20,0
622,decided,49,1,other,1,5,171,20,1
623,undecided,32,1,male,1,6,165,8,1
624,decided,50,1,female,1,4,531,15,0
625,undecided,41,1,female,1,6,153,15,0
626,undecided,58,1,other,0,4,14,16,1
627,undecided,58,1,female,1,3,85,20,0
628,decided,46,0,female,1,3,184,15,1
629,decided,40,1,female,1,5,100,12,0
630,undecided,49,1,female,1,4,113,15,1
631,decided,37,1,male,1,4,107,8,1
632,undecided,41,1,female,1,2,94,18,0
633,decided,65,1,female,0,1,78.5,20,1
634,decided,48,1,female,1,3,543,20,0
635,decided,59,1,male,1,7,176,13,1
636,undecided,38,1,female,1,3,149,15,0
637,decided,39,1,male,1,2,110,18,1
638,decided,42,0,other,1,5,294,15,0
639,undecided,61,1,female,1,6,104,20,0
640,decided,33,1,male,1,2,150,12,0
641,decided,55,1,female,1,3,177,18,1
642,undecided,47,1,female,1,3,12,20,0
643,undecided,54,1,female,1,3,14,20,0
644,undecided,37,1,other,1,5,50,15,1
645,decided,51,1,female,1,2,70,20,1
646,decided,55,1,male,1,2,41,18,0
