Student,GPA,Seminar,Dropped
237,2.28,0,No
238,2.72,1,No
239,2.85,0,No
240,3.42,0,No
241,2.16,0,No
242,2.88,0,No
243,2.1,0,No
244,2.94,0,No
245,2.66,1,Yes
246,2.44,0,No
247,2.18,0,No
248,2.69,1,Yes
249,2.93,0,Yes
250,2.82,0,No
251,2.97,1,No
252,2.43,0,No
253,3.69,1,No
254,3.21,0,No
255,3.05,0,Yes
256,2.66,0,Yes
257,3.25,0,No
258,2.82,0,No
259,3.34,1,No
260,3.75,1,No
261,3.14,1,No
262,2.46,0,No
263,3.39,0,No
264,3.14,0,No
265,2.52,0,No
266,3.37,0,No
267,3.67,1,No
268,3.55,1,No
269,3.36,0,No
270,2.1,0,No
271,2.47,0,No
272,2.86,0,Yes
273,3.25,0,No
274,2.89,1,No
275,2.78,1,Yes
276,3.21,1,No
277,2.83,1,No
278,3.24,0,No
279,2.26,0,No
280,2.89,0,Yes
281,2.88,1,Yes
282,2.6,0,No
283,2.24,0,No
284,2.74,0,No
285,3.14,1,No
286,2.71,1,Yes
287,2.62,1,No
288,3.41,0,No
289,2.66,0,Yes
290,2.75,0,No
291,2.74,0,No
292,3.91,1,No
293,3.23,0,Yes
294,2.53,1,Yes
295,3.05,0,No
296,2.72,0,No
297,2.38,0,No
298,2.46,0,No
299,2.59,0,No
300,2.66,0,No
301,2.85,0,No
302,3.05,0,No
303,3.84,0,No
304,3.53,1,No
305,3.08,1,No
306,2.95,0,No
307,2.61,1,Yes
308,2.95,1,No
309,3.1,0,No
310,2.83,0,No
311,3.26,0,No
312,3.34,0,No
313,3.5,0,No
314,2.35,0,No
315,2.34,0,No
316,2.16,0,No
317,2.67,1,Yes
318,2.49,0,No
319,2.86,1,Yes
320,3.01,0,No
321,2.99,0,Yes
322,3.03,0,No
323,3.85,0,No
324,2.55,0,No
325,2.62,0,Yes
326,2.87,1,No
327,3.74,1,No
328,2.86,0,No
329,2.81,0,No
330,3.11,1,No
331,2.65,0,No
332,2.05,0,No
333,3.09,0,No
334,2.56,0,Yes
335,2.12,0,No
336,3.11,0,No
337,2.42,0,No
338,2.21,0,Yes
339,2.93,0,No
340,2.67,0,No
341,2.38,0,Yes
342,3.35,0,No
343,3.48,0,No
344,2.94,0,No
345,2.7,0,Yes
346,2.82,1,No
347,2.65,1,No
348,2.28,0,Yes
349,2.66,0,No
350,2.19,0,Yes
351,3.16,0,No
352,3.62,1,No
353,2.4,0,No
354,3.01,0,No
355,2.77,0,Yes
356,3.64,1,No
357,3.77,0,No
358,2.67,0,No
359,2.4,0,No
360,3.41,1,No
361,2.79,0,No
362,3.2,0,No
363,3.53,1,No
364,2.68,0,No
365,2.57,0,No
366,3.17,0,No
367,2.85,0,No
368,3.71,1,No
369,3.19,0,No
370,2.94,0,Yes
371,2.91,0,Yes
372,2.8,0,No
373,2.89,1,Yes
374,2.32,0,No
375,2.75,0,No
376,3.3,0,No
377,3.22,0,Yes
378,2.08,0,No
379,3.87,1,No
380,2.16,0,No
381,2.95,0,No
382,2.39,0,No
383,2.75,0,No
384,2.17,0,No
385,3.13,0,No
386,2.82,0,Yes
387,2.68,1,No
388,2.83,0,No
389,3.14,0,Yes
390,4,1,No
391,3.8,1,No
392,2.54,0,No
393,2.4,0,No
394,2.01,0,No
395,3.05,0,Yes
396,3.16,0,No
397,3.15,0,No
398,2.24,0,Yes
399,3.41,1,No
400,2.75,1,No
401,2.99,0,No
402,3.04,0,No
403,2.1,0,No
404,2.9,0,No
405,2.72,0,No
406,2.69,0,No
407,3.2,0,No
408,2.85,0,No
409,2.46,0,No
410,2.4,0,No
411,3.14,1,No
412,2.49,0,Yes
413,3.67,1,No
414,2.54,0,No
415,2.65,0,No
416,3.38,0,No
417,3.16,0,No
418,2.77,0,Yes
419,3.01,0,No
420,3.04,0,No
421,2.72,0,Yes
422,3.48,0,No
423,2.6,0,No
424,3.32,0,No
425,4,1,No
426,2.8,0,Yes
427,2.44,0,Yes
428,3.25,0,Yes
429,2.99,0,No
430,2.79,1,No
431,3.33,0,No
432,3.68,1,No
433,3.65,1,No
434,2.5,0,Yes
435,3.05,0,No
436,2.16,0,Yes
437,2.35,0,No
438,2.77,0,No
439,3.25,0,No
440,2.56,0,Yes
441,2.68,0,No
442,3.06,0,No
443,2.47,0,No
444,2.35,0,No
445,2.95,0,No
446,2.83,0,Yes
447,2.57,0,No
448,2.4,0,No
449,3.31,0,No
450,2.46,0,No
451,2.14,0,No
452,3.41,0,Yes
453,3.03,0,No
454,2.81,0,Yes
455,2.42,0,No
456,2.08,0,No
457,3.61,1,No
458,2.86,0,No
459,2.15,0,No
460,2.63,0,No
461,2.8,1,Yes
462,2.16,0,No
463,2.61,0,No
464,2.71,0,Yes
465,3.65,1,No
466,2.65,1,Yes
467,3.1,0,No
468,2.63,0,Yes
469,2.36,0,No
470,2.52,0,No
471,2.74,0,Yes
472,2.03,0,No
473,2.63,0,No
474,2.84,1,Yes
475,2.58,0,Yes
476,2.17,0,No
477,2.42,0,No
478,2.85,0,No
479,3.91,1,No
480,2.55,1,No
481,2.72,1,No
482,2.65,0,No
483,3.41,0,No
484,2.53,0,No
485,3.29,0,No
486,2.65,0,No
487,2.75,0,No
488,2.25,0,No
489,2.69,0,No
490,3.25,1,No
491,3.62,1,No
492,2.63,0,No
493,2.59,1,No
494,3.17,0,No
495,3.26,0,No
496,3.06,0,No
497,2.13,0,No
498,2.33,0,No
499,2.85,0,No
500,3.17,0,No
